Neighborhood,Year,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,2000,19075,924,2907,11647,2422,566,609,1603,1503,1128,4716,6457,11253,973,2545,3397,907,5790,5480,7292,709,6583
Back Bay,2000,16681,491,1380,7653,4243,1432,1482,337,717,1287,10051,2814,13870,614,730,1101,366,6662,5433,10053,3097,6956
Beacon Hill,2000,9051,378,276,4288,2375,921,814,226,405,943,5910,1313,7904,288,295,442,122,3230,3170,5673,1773,3899
Brighton,2000,50573,3051,2834,26560,9531,2657,5940,4180,5870,5252,18391,15559,36582,2137,3791,6214,1849,15722,15670,23213,5271,17942
Charlestown,2000,15195,1661,1413,5043,4217,1218,1643,1466,2341,1767,5820,2111,11946,539,1764,761,185,4119,4612,7350,3039,4311
Dorchester,2000,118875,19249,19961,29798,31422,8509,9936,20297,21891,16152,12352,36279,28924,53329,16277,9896,10449,25389,26373,40589,13423,27166
Downtown,2000,11438,603,1277,3325,3039,1040,2154,2789,1150,844,3450,4372,6089,432,451,4277,189,3926,2872,5183,1245,3938
East Boston,2000,38413,5346,4750,10917,10225,2479,4696,10009,8265,3954,2591,16051,19078,1177,14990,1553,1615,10086,7715,14326,4029,10297
Fenway,2000,30156,423,7141,17420,2904,748,1520,938,1094,1718,7410,6552,20876,1720,2269,4255,1036,9256,9721,11857,1376,10481
Hyde Park,2000,32003,4610,4568,6458,9611,2621,4135,4105,6828,5736,4273,8376,13443,12716,4155,483,1206,7411,7894,11616,6619,4997
Jamaica Plain,2000,35976,4182,4215,10932,11205,2362,3080,4568,4395,4668,11137,7862,17541,5373,10285,1565,1213,9511,10143,14160,5476,8684
Longwood,2000,3908,244,1542,1772,220,57,73,201,140,85,228,494,2446,506,530,315,111,848,1298,658,35,623
Mattapan,2000,24300,3952,3889,5429,6809,2207,2014,3478,4567,4212,2506,7670,1734,19037,1798,386,1344,5051,5877,8335,3401,4934
Mission Hill,2000,14864,1119,1848,6383,2999,939,1576,1940,1616,1571,3453,4504,6732,2867,2474,2161,630,3930,3840,5893,722,5171
North End,2000,8040,236,156,4404,1731,519,994,783,882,880,4092,937,7594,30,169,154,93,2916,3288,5011,1196,3815
Roslindale,2000,27999,3562,3460,6449,8632,1988,3908,3523,5277,4393,6422,7092,17041,4287,4971,643,1057,7028,7512,10592,5429,5163
Roxbury,2000,42515,7050,7254,9985,11387,3029,3811,7889,7954,5617,3213,8574,2244,26383,9979,370,3539,7705,8958,15440,3069,12371
South Boston Waterfront,2000,1401,82,102,524,458,96,139,153,213,190,431,169,1234,22,36,75,34,508,383,707,301,406
South Boston,2000,28537,3026,2737,8772,7840,2297,3865,3948,6836,4312,5719,3548,24082,719,2199,1086,451,7514,7632,13323,4441,8882
South End,2000,26126,1804,1766,9481,8337,2247,2490,3778,2866,2960,10697,5201,13339,4771,3677,3565,774,9814,6330,13770,4097,9673
West End,2000,4622,238,156,1693,1436,454,644,420,485,606,2386,920,3320,423,275,486,118,1290,1211,2404,729,1676
West Roxbury,2000,28753,3531,2542,5757,8548,2584,5791,2713,5105,4717,8964,4929,24029,1718,1309,1090,607,7366,7439,12083,7749,4334
Allston,2010,22312,763,3384,14451,2322,768,624,,,,,,12808,1075,2799,4510,1120,,,7638,810,6828
Back Bay,2010,16622,713,1149,7501,3593,1689,1977,,,,,,13096,661,943,1564,358,,,9829,3230,6599
Beacon Hill,2010,9023,493,284,4590,1816,905,935,,,,,,7832,178,374,483,156,,,5450,1836,3614
Brighton,2010,52685,2668,3168,29893,8375,3207,5374,,,,,,36761,2356,4641,7058,1869,,,22972,5625,17347
Charlestown,2010,16439,1806,1108,5494,4668,1679,1684,,,,,,12458,764,1591,1344,282,,,8033,3719,4314
Dorchester,2010,114249,15545,17210,28444,30941,11366,10743,,,,,,25322,49144,19407,10637,9739,,,41237,14201,27036
Downtown,2010,15992,717,2561,5087,3603,1747,2277,,,,,,9261,706,759,4933,333,,,6876,1971,4905
East Boston,2010,40508,5554,4508,12476,11478,2960,3532,,,,,,15051,1283,21419,1413,1342,,,14651,4028,10623
Fenway,2010,33895,450,7910,20390,2629,954,1562,,,,,,21995,1659,2751,6379,1111,,,12837,1373,11464
Hyde Park,2010,32317,3878,4682,6221,9500,3906,4130,,,,,,9128,15111,6507,535,1036,,,11712,6782,4930
Jamaica Plain,2010,35541,3683,3195,11606,9786,3873,3398,,,,,,19061,4462,9140,1692,1186,,,14962,6675,8287
Longwood,2010,4861,56,2255,2291,145,63,51,,,,,,3381,377,457,481,165,,,395,63,332
Mattapan,2010,22500,2853,3344,4657,6258,2715,2673,,,,,,1434,17179,2722,386,779,,,8349,3320,5029
Mission Hill,2010,16874,1035,2354,7953,2639,1121,1772,,,,,,7992,2680,3216,2523,463,,,6529,759,5770
North End,2010,8608,243,223,5064,1537,624,917,,,,,,7888,53,308,250,109,,,5290,1268,4022
Roslindale,2010,26368,3206,3076,5523,8140,3105,3318,,,,,,13363,5376,6156,675,798,,,10433,5464,4969
Roxbury,2010,49111,6477,8534,12521,12346,4704,4529,,,,,,5002,25691,14175,1030,3213,,,17821,3552,14269
South Boston Waterfront,2010,2564,87,70,1475,615,177,140,,,,,,2194,40,129,154,47,,,1370,520,850
South Boston,2010,31110,2553,2367,12494,7658,2893,3145,,,,,,24344,1532,3216,1488,530,,,14844,5975,8869
South End,2010,29612,2344,1733,10350,8840,3075,3270,,,,,,16024,3968,4019,4762,839,,,15629,5702,9927
West End,2010,5423,270,280,2286,1389,503,695,,,,,,3450,615,481,746,131,,,2882,681,2201
West Roxbury,2010,30445,3845,2944,5346,8899,3935,5476,,,,,,22302,2959,2573,1976,635,,,12960,8237,4723
Allston,2015,19363,550,2691,13084,1711,675,652,715,986,1265,7595,6809,10494,1194,2674,4200,801,,,6457,631,5826
Back Bay ,2015,18176,798,1632,7498,3498,2118,2632,324,699,1095,12048,4002,13731,757,1480,1794,414,,,9824,3196,6628
Beacon Hill ,2015,9751,728,322,4758,1826,921,1196,182,176,455,7135,1217,8137,123,676,603,212,,,5458,1849,3609
Brighton,2015,51785,3271,3244,27399,8337,3340,6194,3107,4549,4861,23291,13090,33674,2287,5609,8241,1974,,,21605,5117,16488
Charlestown,2015,18901,2424,1196,5738,5315,2268,1960,1432,2133,1728,9203,2902,13835,1103,2238,1354,371,,,8931,4068,4863
Dorchester,2015,125947,15270,16381,35301,32714,13047,13234,16446,26352,19625,21598,43261,27110,57159,22788,11896,6994,,,44086,15340,28746
Downtown,2015,17581,929,2666,5888,3544,2023,2531,2290,1199,1278,7532,5869,9914,603,1065,5560,439,,,7552,2078,5474
East Boston,2015,46655,5666,4835,13673,14034,4259,4188,10213,10279,4640,7430,23504,15194,1193,26787,1776,1705,,,16286,4651,11635
Fenway,2015,32598,637,8815,17097,3296,1178,1575,820,1101,1280,9329,8828,19598,1453,3778,6622,1147,,,10926,1315,9611
Harbor Islands,2015,322,0,2,24,190,71,35,51,105,128,28,20,173,95,9,0,45,,,0,0,0
Hyde Park,2015,37094,3755,5065,7725,9939,5436,5174,3032,7567,7825,7314,10840,9071,16891,9230,667,1235,,,12891,7841,5050
Jamaica Plain,2015,39314,3968,3306,12991,10570,4135,4344,2329,4255,3923,19145,9140,21644,4399,9324,2421,1526,,,16092,7486,8606
Longwood,2015,5389,6,2709,2506,88,48,32,13,75,48,384,787,3783,316,530,602,158,,,280,49,231
Mattapan,2015,25586,3115,3234,5513,7471,3063,3190,3095,5997,5547,2964,8404,1739,18680,3920,453,794,,,8866,3356,5510
Mission Hill ,2015,17406,1035,2265,8374,2646,1136,1950,1479,1648,1745,4587,5363,7637,2772,3487,3214,296,,,6270,589,5681
North End ,2015,9271,271,227,5421,1688,608,1056,335,554,675,6070,1169,8196,45,592,300,138,,,5338,1538,3800
Roslindale,2015,29206,3528,2772,6166,8927,4109,3704,2030,5144,4595,9543,7468,14982,5999,6737,595,893,,,11406,6480,4926
Roxbury,2015,52944,6988,7911,13886,12885,5742,5532,7783,9394,7758,7128,15337,5574,27246,15897,1941,2286,,,19406,3980,15426
South Boston,2015,36212,2783,2101,16456,8392,3249,3231,2704,4778,3831,17996,4569,27874,2272,3955,1537,574,,,16628,6565,10063
South Boston Waterfront,2015,3443,120,116,1656,1065,281,205,62,209,269,2456,610,2803,94,104,370,72,,,1830,696,1134
South End ,2015,32040,2656,1575,11602,8562,3556,4089,2965,3061,2814,16986,7618,17917,3385,4334,5317,1087,,,16193,6674,9519
West End ,2015,6173,276,346,2620,1501,601,829,291,499,553,3741,1528,3866,432,781,929,165,,,3134,655,2479
West Roxbury,2015,33930,4654,3024,5847,9569,4775,6061,2027,4904,5136,13124,7274,23545,3513,3454,2564,854,,,13757,8892,4865
Allston,2017,19261,409,2690,13046,,,,571,773,1244,7844,1873,9839,1099,2586,4811,926,,,6526,796,5730
Back Bay ,2017,17783,655,1494,7418,,,,284,596,1130,11781,1390,13044,761,1715,1917,346,,,9829,3088,6741
Beacon Hill ,2017,9648,615,287,4524,,,,169,168,399,7467,659,8074,138,580,578,278,,,5427,1775,3652
Brighton,2017,55297,3170,3555,29181,,,,2050,2660,4677,5477,26836,,36019,2379,6689,8160,,,22698,5216,17482
Charlestown,2017,19890,2978,1182,5603,,,,1192,2062,1656,10159,1805,14692,1019,2198,1613,368,,,9162,4300,4862
Dorchester,2017,126909,15104,16496,35771,,,,15449,25697,19657,25209,24331,28244,55787,25288,12540,5050,,,44301,16005,28296
Downtown,2017,18306,1122,2692,5942,,,,1963,1345,1399,8015,3034,10172,730,1100,5701,603,,,7942,2138,5804
East Boston,2017,47263,5319,4943,14689,,,,9228,9725,5182,9812,6069,16011,1171,26707,2167,1207,,,16565,4601,11964
Fenway,2017,33489,509,8686,18072,,,,840,1308,1495,9559,2168,18856,1810,4022,7071,1730,,,11226,1120,10106
Hyde Park,2017,38924,4140,4754,8221,,,,3759,7550,8210,7721,7662,8719,18042,10242,763,1158,,,13147,7832,5315
Jamaica Plain,2017,40867,4232,3063,13286,,,,2490,3773,4675,20307,5086,22533,5825,9001,2004,1504,,,16423,7612,8811
Longwood,2017,5351,8,2640,2575,,,,17,35,36,443,205,3746,291,389,752,173,,,269,26,243
Mattapan,2017,26659,3496,3647,5582,,,,2632,6220,5539,3704,4987,1612,19821,3771,499,956,,,9173,3522,5651
Mission Hill ,2017,17386,660,2249,8599,,,,1662,1491,1819,4621,2109,7156,2662,3716,3419,433,,,6687,622,6065
North End ,2017,8749,310,218,5208,,,,185,523,646,5782,579,7692,29,614,287,127,,,5086,1367,3719
Roslindale,2017,30021,3412,3122,6310,,,,2027,4656,4746,10532,5136,15291,5805,7182,750,993,,,11482,6354,5128
Roxbury,2017,54161,6557,7958,15059,,,,7733,9902,8273,7680,8537,5937,27243,16637,1905,2439,,,19899,4326,15573
South Boston,2017,36772,3165,1801,16937,,,,2350,4239,3601,19541,2503,28008,2064,4065,2070,565,,,16730,6911,9819
South Boston Waterfront,2017,4403,138,94,2038,,,,80,250,353,3214,209,3640,93,128,425,117,,,2628,746,1882
South End ,2017,32571,2421,1904,11029,,,,3094,2927,3029,17252,4155,18044,3669,4715,4974,1169,,,16819,6355,10464
West End ,2017,6619,297,266,2504,,,,333,466,515,4369,647,4436,463,838,706,176,,,3558,789,2769
West Roxbury,2017,33526,4066,3148,6062,,,,1650,4887,5013,13726,5293,22584,4094,3376,2500,972,,,13933,8905,5028
Allston,2020,24904,,,,,,,,,,,,12536,1326,3259,6271,1512,,,10027,,
Back Bay,2020,18190,,,,,,,,,,,,13065,690,1208,2410,817,,,10006,,
Beacon Hill,2020,9336,,,,,,,,,,,,7521,252,537,630,396,,,5485,,
Brighton,2020,52047,,,,,,,,,,,,32694,2414,5376,8703,2860,,,22535,,
Charlestown,2020,19120,,,,,,,,,,,,13626,990,2075,1650,779,,,8932,,
Dorchester,2020,122191,,,,,,,,,,,,27411,42714,25285,13360,13421,,,44823,,
Downtown,2020,19979,,,,,,,,,,,,10574,823,1418,6498,666,,,8321,,
East Boston,2020,43066,,,,,,,,,,,,15760,1403,21700,1932,2271,,,16695,,
Fenway,2020,37493,,,,,,,,,,,,20350,2333,3565,9210,2035,,,13273,,
Hyde Park,2020,34172,,,,,,,,,,,,7632,15628,8319,736,1857,,,12471,,
Jamaica Plain,2020,40015,,,,,,,,,,,,21463,4511,8664,3042,2335,,,17400,,
Longwood,2020,5186,,,,,,,,,,,,3584,329,486,612,175,,,317,,
Mattapan,2020,23840,,,,,,,,,,,,1489,16277,4083,491,1500,,,8822,,
Mission Hill,2020,17518,,,,,,,,,,,,6635,2427,3341,4315,800,,,6668,,
North End,2020,10805,,,,,,,,,,,,9306,141,528,445,385,,,6314,,
Roslindale,2020,29586,,,,,,,,,,,,14014,5784,7255,987,1546,,,11682,,
Roxbury,2020,54533,,,,,,,,,,,,7137,22624,16633,3222,4917,,,20025,,
South Boston,2020,37917,,,,,,,,,,,,29139,1529,3887,2077,1285,,,17961,,
South Boston Waterfront,2020,5579,,,,,,,,,,,,4315,160,316,482,306,,,3624,,
South End,2020,30904,,,,,,,,,,,,17362,3259,3998,4875,1410,,,16152,,
West End,2020,7705,,,,,,,,,,,,4933,338,613,1440,381,,,4572,,
West Roxbury,2020,31561,,,,,,,,,,,,20918,3312,3567,2451,1313,,,13390,,
